Exit Survey Source,date,Purchases,Spend,Lift,Conversion Rate (Purchases/Lift)%,Cost Per Acquisition (Spend/Purchases),Cost Per Visitor (Spend/Lift),Percent of Purchases,Percent of Spend,Percent Pur > Percent Spend
Turner Network Tv,2017-09-30,2.0,5125.5,179.0,1.1173184357541899,2562.75,28.634078212290504,0.847457627118644,2.412929517224847,False
Turner Network Tv,2017-10-31,2.0,0.0,0.0,inf,0.0,,0.847457627118644,0.0,True
Willow Tv,2017-09-30,27.0,19773.489999999998,3138.0,0.8604206500956023,732.3514814814814,6.301303377947737,11.440677966101696,9.308757717208142,True
Willow Tv,2017-10-31,29.0,27961.08,5076.0,0.5713159968479117,964.1751724137931,5.508486997635934,12.288135593220339,13.16322607852606,False
Zeetv,2017-09-30,2.0,10175.13,922.0,0.21691973969631237,5087.565,11.035932754880694,0.847457627118644,4.790141745897972,False
Zeetv,2017-10-31,3.0,15429.12,819.0,0.3663003663003663,5143.04,18.83897435897436,1.2711864406779663,7.263560447332794,False
Velocity,,0.0,0.0,0.0,,,,0.0,0.0,False
Investigation Discovery,,0.0,0.0,0.0,,,,0.0,0.0,False
Viceland,,0.0,0.0,0.0,,,,0.0,0.0,False
Destination America,,0.0,0.0,0.0,,,,0.0,0.0,False
Golf,,0.0,0.0,0.0,,,,0.0,0.0,False
Tennis,,0.0,0.0,0.0,,,,0.0,0.0,False
Cnbc World,,0.0,0.0,0.0,,,,0.0,0.0,False
